Week,AI_AN_NH,Asian_PI_NH,Black_NH,Hispanic,White_NH,Total
2020-03-07,0.14,0.19,0.26,0.14,0.12,0.8500000000000001
2020-03-14,0.54,0.53,1.02,0.48,0.38,2.9499999999999997
2020-03-21,0.65,1.29,3.15,1.69,1.17,7.949999999999999
2020-03-28,1.27,2.57,5.86,3.44,2.11,15.249999999999998
2020-04-04,1.3,3.47,7.1,4.8,3.08,19.75
2020-04-11,2.42,3.63,7.31,4.59,3.77,21.72
2020-04-18,1.7,2.73,5.44,3.45,3.48,16.8
2020-04-25,0.21,2.13,4.06,2.67,3.11,12.18
2020-05-02,2.1,1.73,2.93,2.12,2.32,11.2
2020-05-09,2.24,1.12,2.05,1.58,1.7,8.69
2020-05-16,1.7,0.99,1.77,1.46,1.36,7.28
2020-05-23,1.88,0.67,1.45,1.27,1.08,6.35
2020-05-30,2.06,0.65,1.2,1.18,0.87,5.96
2020-06-06,1.92,0.46,1.03,1.26,0.69,5.359999999999999
2020-06-13,1.7,0.52,0.92,1.24,0.63,5.01
2020-06-20,1.66,0.67,1.07,1.53,0.68,5.61
2020-06-27,1.92,0.56,1.31,1.71,0.84,6.34
2020-07-04,2.28,0.77,1.53,2.11,1.0,7.6899999999999995
2020-07-11,2.35,0.71,2.02,2.28,1.3,8.66
2020-07-18,2.21,0.76,2.24,2.37,1.41,8.99
2020-07-25,1.88,0.84,2.03,2.04,1.4,8.19
2020-08-01,1.34,0.74,1.94,1.81,1.26,7.09
2020-08-08,1.41,0.74,1.58,1.43,1.16,6.32
2020-08-15,0.87,0.56,1.4,1.28,1.17,5.28
2020-08-22,1.41,0.61,1.5,1.34,1.11,5.970000000000001
2020-08-29,0.94,0.47,1.03,0.94,0.97,4.35
2020-09-05,1.08,0.46,0.93,0.77,0.88,4.12
2020-09-12,1.16,0.37,0.81,0.68,0.83,3.85
2020-09-19,1.12,0.43,0.82,0.64,0.91,3.9200000000000004
2020-09-26,1.48,0.37,0.8,0.81,1.06,4.5200000000000005
2020-10-03,1.95,0.36,0.76,0.72,1.23,5.02
2020-10-10,1.74,0.29,0.82,0.73,1.38,4.959999999999999
2020-10-17,1.84,0.44,1.03,0.9,1.65,5.860000000000001
2020-10-24,2.46,0.51,1.11,1.08,1.96,7.12
2020-10-31,2.53,0.66,1.3,1.26,2.25,8.0
2020-11-07,3.54,0.92,1.5,1.6,2.96,10.52
2020-11-14,4.05,1.26,1.85,2.11,3.53,12.799999999999999
2020-11-21,4.09,1.62,2.04,2.66,3.8,14.21
2020-11-28,3.87,1.89,2.52,3.05,4.24,15.569999999999999
2020-12-05,4.77,2.75,3.02,3.99,4.6,19.13
2020-12-12,5.1,3.39,3.19,4.71,4.83,21.22
2020-12-19,5.6,4.06,3.33,5.54,4.6,23.130000000000003
2020-12-26,5.57,4.15,3.16,5.26,4.24,22.380000000000003
2021-01-02,4.99,4.26,3.53,5.52,4.87,23.169999999999998
2021-01-09,5.21,4.02,3.56,5.56,4.17,22.520000000000003
2021-01-16,4.99,3.2,3.27,4.37,3.54,19.37
2021-01-23,3.11,2.57,2.74,3.24,2.86,14.52
2021-01-30,2.82,1.65,2.13,2.43,2.18,11.209999999999999
2021-02-06,1.92,1.45,1.86,1.78,1.71,8.72
2021-02-13,0.8,0.9,1.31,1.21,1.24,5.460000000000001
2021-02-20,0.47,0.67,1.13,1.01,0.94,4.220000000000001
2021-02-27,0.58,0.58,0.94,0.85,0.79,3.7399999999999998
2021-03-06,0.29,0.43,0.77,0.69,0.58,2.76
2021-03-13,0.18,0.48,0.73,0.61,0.53,2.5300000000000002
2021-03-20,0.33,0.32,0.68,0.62,0.53,2.4800000000000004
2021-03-27,0.25,0.4,0.68,0.55,0.5,2.38
2021-04-03,0.22,0.2,0.55,0.35,0.41,1.73
2021-04-10,0.04,0.22,0.45,0.25,0.32,1.28
2021-04-17,0.11,0.13,0.22,0.16,0.22,0.84
2021-04-24,0.14,0.03,0.12,0.05,0.1,0.44000000000000006
2021-05-01,0.0,0.0,0.03,0.0,0.01,0.04
