State,Mask willingness,vaccine unwillingness,supply usage,population ,2020 election
Alabama,85.00,26.00,63.8,"4,863,300",R
Alaska,77.00,22.00,72.9,"741,894",R
Arizona,80.00,22.00,75.3,"6,931,071",D
Arkansas,68.00,27.00,69.5,"2,988,248",R
California,84.00,17.00,77.8,"39,250,017",D
Colorado,89.00,18.00,82.2,"5,540,545",D
Connecticut,95.00,13.00,84.1,"3,576,452",D
Delaware,90.00,14.00,77.6,"952,065",D
Florida,91.00,20.00,73.1,"20,612,439",R
Georgia,82.00,27.00,66.9,"10,310,371",D
Hawaii,94.00,11.00,82.9,"1,428,557",D
Idaho,73.00,29.00,76.2,"1,683,140",R
Illinois,90.00,19.00,78.2,"12,801,539",D
Indiana,89.00,22.00,76.4,"6,633,053",R
Iowa,69.00,20.00,85.9,"3,134,693",R
Kansas,86.00,25.00,74.6,"2,907,289",R
Kentucky,83.00,25.00,79.7,"4,436,974",R
Louisiana,86.00,23.00,73.8,"4,681,666",R
Maine,88.00,16.00,85.1,"1,331,479",D
Maryland,91.00,15.00,79.2,"6,016,447",D
Massachusetts,90.00,11.00,83.1,"6,811,779",D
Michigan,84.00,21.00,74.5,"9,928,300",D
Minnesota,83.00,17.00,86.3,"5,519,952",D
Mississippi,83.00,30.00,65.7,"2,988,726",R
Missouri,79.00,24.00,76.4,"6,093,000",R
Montana,84.00,24.00,77.3,"1,042,520",R
Nebraska,80.00,16.00,80.9,"1,907,116",R
Nevada,92.00,22.00,82.1,"2,940,058",D
New Hampshire,87.00,17.00,85,"1,334,795",D
New Jersey,88.00,14.00,83.3,"8,944,469",D
New Mexico,89.00,20.00,89.1,"2,081,015",D
New York,91.00,13.00,83.7,"19,745,289",D
North Carolina,79.00,22.00,71.9,"10,146,788",R
North Dakota,66.00,24.00,87.7,"757,952",R
Ohio,83.00,21.00,79.9,"11,614,373",R
Oklahoma,81.00,28.00,72.2,"3,923,561",R
Oregon,90.00,17.00,77.5,"4,093,465",D
Pennsylvania,88.00,20.00,80.1,"12,784,227",D
Rhode Island,96.00,15.00,80.3,"1,056,426",D
South Carolina,82.00,23.00,71.7,"4,961,119",R
South Dakota,54.00,28.00,79.1,"865,454",R
Tennessee,76.00,25.00,74.5,"6,651,194",R
Texas,84.00,23.00,72.4,"27,862,596",R
Utah,74.00,16.00,84,"3,051,217",R
Vermont,84.00,16.00,83.6,"624,594",D
Virginia,88.00,19.00,82,"8,411,808",D
Washington,88.00,17.00,79.8,"7,288,000",D
West Virginia,77.00,28.00,71.4,"1,831,102",R
wisconsin,79.00,19.00,87.6,"5,778,708",D
wyoming,54.00,22.00,74.8,"585,501",R
,,,,,
