State,Vaccinations
Alabama,911800
Alaska,201700
Arizona,1292600
Arkansas,553100
California,7273200
Colorado,1034100
Connecticut,684900
Delaware,181500
Florida,3978600
Georgia,1885700
Hawaii,271000
Idaho,302800
Illinois,2394600
Indiana,1225600
Iowa,581800
Kansas,531300
Kentucky,829900
Louisiana,860500
Maine,261900
Maryland,1128000
Massachusetts,1319200
Michigan,1877800
Minnesota,1028400
Mississippi,549500
Missouri,1138400
Montana,198700
Nebraska,351400
Nevada,544900
New Hampshire,262300
New Jersey,1671500
New Mexico,391900
New York,3744200
North Carolina,1902400
North Dakota,143500
Ohio,2182500
Oklahoma,716900
Oregon,780700
Pennsylvania,2149900
Philadelphia,298300
Rhode Island,206200
South Carolina,933900
South Dakota,158600
Tennessee,1246400
Texas,4980400
Utah,518100
Vermont,124000
Virginia,1583400
Washington,1385300
West Virginia,353400
Wisconsin,1092400
Wyoming,108900
