,Unnamed: 0,state,mask_willingness,vaccine_unwilling,supply_percent_used,% population passed,election_result,postvax_deaths,prevax_deaths,% population vaccinated
0,0,Alabama,85,26,63.8,1.2185758641251825,0,23227,36036,43.96109637488948
1,1,Alaska,77,22,72.9,0.4689349152304777,0,1712,1767,65.15755620075106
2,2,Arizona,80,22,75.3,0.99884996128304,1,30972,38259,43.728306923994865
3,3,Arkansas,68,27,69.5,1.4327793409382354,0,20022,22793,43.58674380439642
4,4,California,84,17,77.8,0.2493935225556717,1,29148,68739,43.32604492884678
5,5,Colorado,89,18,82.2,0.7722345003966217,1,16873,25913,43.78675743992694
6,6,Connecticut,95,13,84.1,1.1337772742371492,1,17378,23171,45.14306357250146
7,7,Delaware,90,14,77.6,1.6148057117948882,1,8250,7124,45.95799656536057
8,8,Florida,91,20,73.1,0.42365195113494336,0,31872,55453,45.133960129609115
9,9,Georgia,82,27,66.9,0.7390325721547749,1,31636,44561,42.86121226869528
10,10,Hawaii,94,11,82.9,0.3728237655200317,1,2473,2853,45.156056076166365
11,11,Idaho,73,29,76.2,1.19817721639317,0,9093,11074,42.634599617381795
12,12,Illinois,90,19,78.2,0.5580032213314353,1,25591,45842,43.91600884862359
13,13,Indiana,89,22,76.4,0.8233614294955883,0,20389,34225,43.321303176681994
14,14,Iowa,69,20,85.9,1.1783929080136395,0,13870,23069,43.67429282548562
15,15,Kansas,86,25,74.6,1.222375897270619,0,16890,18648,43.09788259784286
16,16,Kentucky,83,25,79.7,1.0231522654854412,0,22199,23198,44.07564705134625
17,17,Louisiana,86,23,73.8,1.2333857220912383,0,21367,36376,43.27412506573515
18,18,Maine,88,16,85.1,0.7590055870201483,1,6673,3433,46.567764117947036
19,19,Maryland,91,15,79.2,0.9328595431822138,1,23268,32857,44.00637120213973
20,20,Massachusetts,90,11,83.1,0.6911410367247675,1,20140,26939,45.416182762241704
21,21,Michigan,84,21,74.5,0.6156340964717021,1,24549,36573,44.2675986825539
22,22,Minnesota,83,17,86.3,0.7595355901645522,1,15152,26774,43.68724583112317
23,23,Mississippi,83,30,65.7,1.7218373313579096,0,21691,29770,43.262915369291136
24,24,Missouri,79,24,76.4,0.8536845560479239,0,20227,31788,43.83620548170032
25,25,Montana,84,24,77.3,1.6336377239765183,0,7731,9300,45.526704523654224
26,26,Nebraska,80,16,80.9,1.3187975980485718,0,9939,15212,43.51124944680869
27,27,Nevada,92,22,82.1,1.477725949624123,1,21532,21914,43.629411392564364
28,28,New Hampshire,87,17,85.0,1.0385864496046209,1,7516,6347,46.48953584632846
29,29,New Jersey,88,14,83.3,0.7693804964833575,1,29022,39795,43.766823944495755
30,30,New Mexico,89,20,89.1,1.7816305985300442,1,18541,18535,44.51529662208105
31,31,New York,91,13,83.7,0.6480837023960501,1,58359,69607,44.385524060954495
32,32,North Carolina,79,22,71.9,0.4286775282976248,0,7268,36229,43.92887680318146
33,33,North Dakota,66,24,87.7,2.249482816853837,0,6295,10755,45.101140969348975
34,34,Ohio,83,21,79.9,0.5533660749486864,0,25678,38592,44.02600984142666
35,35,Oklahoma,81,28,72.2,1.2274818716976748,0,22020,26141,43.05234454109417
36,36,Oregon,90,17,77.5,0.5617001733250437,1,11441,11552,44.86345919654865
37,37,Pennsylvania,88,20,80.1,0.5239112227903963,1,28253,38725,39.37340130146313
38,38,Rhode Island,96,15,80.3,2.2492820131272797,1,10115,13647,46.140004127122964
39,39,South Carolina,82,23,71.7,1.0448852365766674,0,23007,28831,44.21794760415946
40,40,South Dakota,54,28,79.1,2.3213249924317183,0,7746,12344,44.06877777443977
41,41,Tennessee,76,25,74.5,0.8773161630828992,0,25550,32802,43.97473596470047
42,42,Texas,84,23,72.4,0.3626510609420601,0,33672,67372,41.804521732289416
43,43,Utah,74,16,84.0,0.8164283300728856,0,12736,12175,39.91440136837203
44,44,Vermont,84,16,83.6,0.36791900018251855,1,1366,932,48.40824599659939
45,45,Virginia,88,19,82.0,0.6692615903739125,1,23983,32314,44.119230966755296
46,46,Washington,88,17,79.8,0.5335208562019758,1,17600,21283,44.757889681668495
47,47,West Virginia,77,28,71.4,1.3566147598549945,0,13668,11173,45.44312659808137
48,48,Wisconsin,79,19,87.6,0.7376043226271339,1,16556,26068,44.370990885851995
49,49,Wyoming,54,22,74.8,1.2604589915303306,0,3786,3594,45.03493589250915
