State,Vaccinations
Alabama,1046760
Alaska,241800
Arizona,1484340
Arkansas,640380
California,8303880
Colorado,1188525
Connecticut,794820
Delaware,220350
Florida,4543110
Georgia,2162550
Hawaii,320580
Idaho,354900
Illinois,2756325
Indiana,1406925
Iowa,672555
Kansas,616980
Kentucky,962325
Louisiana,996450
Maine,306540
Maryland,1297920
Massachusetts,1515150
Michigan,2148120
Minnesota,1181115
Mississippi,635310
Missouri,1308840
Montana,236925
Nebraska,409110
Nevada,630630
New Hampshire,306540
New Jersey,1914510
New Mexico,457470
New York,4284150
North Carolina,2181270
North Dakota,169845
Ohio,2502045
Oklahoma,831285
Oregon,902070
Pennsylvania,2461485
Philadelphia,353730
Rhode Island,240435
South Carolina,1076205
South Dakota,191295
Tennessee,1433445
Texas,5689125
Utah,597675
Vermont,153855
Virginia,1816425
Washington,1604655
West Virginia,409110
Wisconsin,1256970
Wyoming,133380
