,State,COVID-19 Deaths
0,Alabama,23227.0
1,Alaska,1712.0
2,Arizona,30972.0
3,Arkansas,20022.0
4,California,29148.0
5,Colorado,16873.0
6,Connecticut,17378.0
7,Delaware,8250.0
8,Florida,31872.0
9,Georgia,31636.0
10,Hawaii,2473.0
11,Idaho,9093.0
12,Illinois,25591.0
13,Indiana,20389.0
14,Iowa,13870.0
15,Kansas,16890.0
16,Kentucky,22199.0
17,Louisiana,21367.0
18,Maine,6673.0
19,Maryland,23268.0
20,Massachusetts,20140.0
21,Michigan,24549.0
22,Minnesota,15152.0
23,Mississippi,21691.0
24,Missouri,20227.0
25,Montana,7731.0
26,Nebraska,9939.0
27,Nevada,21532.0
28,New Hampshire,7516.0
29,New Jersey,29022.0
30,New Mexico,18541.0
31,New York,58359.0
32,North Carolina,7268.0
33,North Dakota,6295.0
34,Ohio,25678.0
35,Oklahoma,22020.0
36,Oregon,11441.0
37,Pennsylvania,28253.0
38,Rhode Island,10115.0
39,South Carolina,23007.0
40,South Dakota,7746.0
41,Tennessee,25550.0
42,Texas,33672.0
43,Utah,12736.0
44,Vermont,1366.0
45,Virginia,23983.0
46,Washington,17600.0
47,West Virginia,13668.0
48,Wisconsin,16556.0
49,Wyoming,3786.0
