State,COVID-19 Deaths
Alabama,36036.0
Alaska,1767.0
Arizona,38259.0
Arkansas,22793.0
California,68739.0
Colorado,25913.0
Connecticut,23171.0
Delaware,7124.0
Florida,55453.0
Georgia,44561.0
Hawaii,2853.0
Idaho,11074.0
Illinois,45842.0
Indiana,34225.0
Iowa,23069.0
Kansas,18648.0
Kentucky,23198.0
Louisiana,36376.0
Maine,3433.0
Maryland,32857.0
Massachusetts,26939.0
Michigan,36573.0
Minnesota,26774.0
Mississippi,29770.0
Missouri,31788.0
Montana,9300.0
Nebraska,15212.0
Nevada,21914.0
New Hampshire,6347.0
New Jersey,39795.0
New Mexico,18535.0
New York,69607.0
North Carolina,36229.0
North Dakota,10755.0
Ohio,38592.0
Oklahoma,26141.0
Oregon,11552.0
Pennsylvania,38725.0
Rhode Island,13647.0
South Carolina,28831.0
South Dakota,12344.0
Tennessee,32802.0
Texas,67372.0
Utah,12175.0
Vermont,932.0
Virginia,32314.0
Washington,21283.0
West Virginia,11173.0
Wisconsin,26068.0
Wyoming,3594.0
