State,COVID-19 Deaths
Alabama,23227.0
Alaska,1712.0
Arizona,30972.0
Arkansas,20022.0
California,29148.0
Colorado,16873.0
Connecticut,17378.0
Delaware,8250.0
Florida,31872.0
Georgia,31636.0
Hawaii,2473.0
Idaho,9093.0
Illinois,25591.0
Indiana,20389.0
Iowa,13870.0
Kansas,16890.0
Kentucky,22199.0
Louisiana,21367.0
Maine,6673.0
Maryland,23268.0
Massachusetts,20140.0
Michigan,24549.0
Minnesota,15152.0
Mississippi,21691.0
Missouri,20227.0
Montana,7731.0
Nebraska,9939.0
Nevada,21532.0
New Hampshire,7516.0
New Jersey,29022.0
New Mexico,18541.0
New York,58359.0
North Carolina,7268.0
North Dakota,6295.0
Ohio,25678.0
Oklahoma,22020.0
Oregon,11441.0
Pennsylvania,28253.0
Rhode Island,10115.0
South Carolina,23007.0
South Dakota,7746.0
Tennessee,25550.0
Texas,33672.0
Utah,12736.0
Vermont,1366.0
Virginia,23983.0
Washington,17600.0
West Virginia,13668.0
Wisconsin,16556.0
Wyoming,3786.0
